Pillar,Category,Level Description,Level,Impact,DDMType,Topic,Ml-MOT Flag,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Periodicity,Total iterations,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Mind,Preventative care,2,1,Development,,,100,101,Take a nap,Why an afternoon nap can be beneficial,"Listen to a podcast explaining the joys of an afternoon nap. It’s not a lazy snooze, it’s a brain booster! Napping can help your heart, improve your mood and enhance your memory.","Naps have been shown to have numerous benefits including improving cognitive functions such as memory, logical reasoning, and the ability to complete complex tasks. Naps have also been shown to help improve cardiovascular health.",Visit site,All,,,,,,All,All,All,https://www.sleepfoundation.org/sleep-hygiene/napping,,BBC,Company,https://www.bbc.co.uk/programmes/m001744m,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Annual,,Sleep foundation,charity,https://www.sleepfoundation.org/sleep-hygiene/napping,Online,N/A,Free,No,None,,,3.3,https://uk.trustpilot.com/review/sleepfoundation.org,N/A,Annual,,Progressive Hypnosis,Content writer,https://www.youtube.com/watch?v=AFiRv1OITco,Online,N/A,Free,??,None,,,1.6,https://uk.trustpilot.com/review/www.youtube.com,N/A,Annual,,Sleep Hubs,Company,https://sleephubs.com/,,,Paid,Invite,AWIN= 18997,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,,,101,,Take a nap,Put time aside for a nap,"Set aside time for a 20-minute nap at least twice a week to help you stay alert and fend off daytime fatigue, make it a new brain boosting habit!",,Sign me up,All,twice a week,3 months,24,The Handy Man,https://www.youtube.com/watch?v=VAxf5-Yuk4E,All,All,All,https://www.sleepfoundation.org/sleep-hygiene/napping,,The Handy Man,Content writer,https://www.youtube.com/watch?v=VAxf5-Yuk4E,Online,N/A,Free,No,None,,,1.6,https://uk.trustpilot.com/review/www.youtube.com,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,2,Development,,,102,103,Sleep tips,Find out how to increase the quality of your sleep,One of the most common problems related to ageing is sleep quality with over half of older adults reporting symptoms of insomnia. Read tips on how to increase your sleep quality.,"Sleep is an essential function to help our mind and body recharge. Healthy sleep also helps the body remain healthy and stave off diseases. Without enough sleep, the brain cannot function properly.",Read,All,,,,,,All,All,All,https://academic.oup.com/sleep/article/33/4/509/2454611,,Sleep foundation,Charity,https://www.thensf.org/sleep-tips/,Online,N/A,Free,No,None,,,3.3,https://uk.trustpilot.com/review/sleepfoundation.org,N/A,Annual,,BBC,Company,https://www.bbc.co.uk/sounds/curation/p0bw83p3?partner=uk.co.bbc&origin=share-mobile,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Annual,,Insight timer,Company,https://insighttimer.com/,Online,N/A,Free/Paid,??,??,,,3.9,https://uk.trustpilot.com/review/www.insighttimer.com,N/A,Quarterly,,Sleep Hubs,Company,https://sleephubs.com/,,,Paid,Invite,AWIN= 18997,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,,,103,,Improve your sleep,Set up a sleep schedule,Set a daily alarm for bedtime! It will help you improve your sleep and ensure that you get 8 hours a night. Maintain a regular bedtime and sleep your way to a great habit!,,Sign me up,All,daily,1 month,28,Sleep foundation,https://www.thensf.org/10-sleep-tips-sleep-quality/,All,All,All,"https://academic.oup.com/sleep/article/33/4/509/2454611, https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2648.2009.04982.x",,Sleep foundation,Charity,https://www.thensf.org/sleep-tips/,Online,N/A,Free,No,None,,,3.3,https://uk.trustpilot.com/review/sleepfoundation.org,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,,,104,105,Sleep trackers guide,Guide to sleep trackers,"Read a guide to the best sleep trackers to help you make an informed decision when buying one for yourself, to help you get a good night of restful sleep.","Tracking your sleep can help to better understand your sleep habits, helping you to learn what could be helping or harming your sleep.",Read,All,,,,,,All,All,All,"https://academic.oup.com/sleep/article/33/4/509/2454611, https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2648.2009.04982.x",,The dozy owl,Content writer,https://thedozyowl.co.uk/sleep-trackers/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Consensus sleep diary,Content writer,https://consensussleepdiary.com/,Online,N/A,Free,??,None,,,N/A,N/A,N/A,Annual,,Sleep on,Company,https://shop.sleepon.us/collections/sleepon-family/products/go2sleep-ai-powered-device-for-restful-sleep,Online,N/A,Paid,Yes(nsu),Direct,,,N/A,N/A,N/A,Quarterly,,Sleep Hubs,Company,https://sleephubs.com/,,,Paid,Invite,AWIN= 18997,,,,,,,
Health,Mind,Diagnostic,3,,Maintenance,,,105,,Track your sleep,Learn about your sleep patterns,"Track your sleep patterns and habits for the next month, to start monitoring and learning, what might be helping or harming your sleep cycles.",,Sign me up,All,daily,1 month,28,Psychology today,https://www.psychologytoday.com/us/blog/the-land-nod/201310/how-track-your-sleep,All,All,All,"https://academic.oup.com/sleep/article/33/4/509/2454611, https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2648.2009.04982.x",,Psychology today,Content writer,https://www.psychologytoday.com/us/blog/the-land-nod/201310/how-track-your-sleep,Online,N/A,Free,No,None,,,1.8,https://uk.trustpilot.com/review/www.psychologytoday.com,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,1,Development,,,106,107,Take a break,Find out about the importance of taking a break,"This episode of the ""Just one Thing"" podcast introduces the importance of taking a break to boost focus, enhance creativity and even improve eye health.","Taking breaks can be beneficial to both you and what you are working on. Whether it's a micro break, lunch break or longer break, give yourself a break!",Listen,All,,,,,,All,All,All,https://rightasrain.uwmedicine.org/mind/well-being/taking-breaks,,BBC,Company,https://www.bbc.co.uk/programmes/m0018p32,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Annual,,Headspace,Company,https://www.headspace.com/meditation/5-minute-meditation,Online,N/A,Paid,??,None,,,2.1,https://uk.trustpilot.com/review/headspace.com,N/A,Six Monthly,,WebMD,Company,https://www.webmd.com/fitness-exercise/video/office-exercises-in-5-minutes,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/www.webmd.com,N/A,Annual,,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,,,107,,Take a break,Put time aside for a break,Work some breaks into your day to give yourself a few moments to slow down and enjoy life. Do this for a month and you can turn it into a great brain boosting habit.,,Sign me up,All,daily,1 month,28,Thrive global,https://community.thriveglobal.com/weekly-roundup-4-ways-to-take-more-meaningful-breaks/,All,All,All,https://rightasrain.uwmedicine.org/mind/well-being/taking-breaks,,Thrive global,Content writer,https://community.thriveglobal.com/weekly-roundup-4-ways-to-take-more-meaningful-breaks/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,"Mental Health,Meditation",Y,108,109,Try meditation,Guided meditations to boost health,"Try guided meditation hosted by a psychotherapist. Walking you through calm discussions of body and mind, helping you deal with life’s stresses or to help you destress after a long day.","Apart from enhancing your happiness and improving your overall well-being, meditation also helps your memory stay sharp and your concentration remain steady. Start working meditation into your life to reap the benefits.",Listen,All,,,,,,All,All,All,https://psycnet.apa.org/record/1990-11540-001?doi=1,,Tara brach,Company,https://www.tarabrach.com/guided-meditations/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,The heart of meditation,Company,https://theartofmeditation.org/meditation-courses,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,,Yoga journal,Company,https://www.yogajournal.com/meditation/best-free-online-guided-meditations-for-beginners/,Online,N/A,Paid,??,None,,,2.9,https://uk.trustpilot.com/review/yogajournal.com,N/A,Quarterly,,Complete Unity Yoga,Company,https://completeunityyoga.com/,,,Paid,Invite,AWIN=29057,,,,,,,
Health,Mind,Diagnostic,2,,Maintenance,,,109,,Time to meditate,Put time aside for meditation,Set aside regular time to meditate to make it a zen new habit.,,Sign me up,All,twice a week,3 months,24,Tara brach,https://www.tarabrach.com/guided-meditations/,All,All,All,https://psycnet.apa.org/record/1990-11540-001?doi=1,,Tara brach,Company,https://www.tarabrach.com/guided-meditations/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
