ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
100,Basic Health,Mind,Take a nap,100,Why an afternoon nap can be beneficial.,"Listen to a podcast and read about the joys of an afternoon nap. It’s not a lazy snooze, it’s a brain booster! Napping can help your heart, improve your mood and enhance your memory.",Visit site,,https://www.halixia.com/ma/take-a-nap-100,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,101,,,Free,,,,,,
101,Basic Health,Mind,Take a regular nap,101,Put time aside for a nap.,"Set aside time for a 20-minute nap at least twice a week to help you stay alert and fend off daytime fatigue, make it a new brain boosting habit!",Sign me up,The Handy Man,https://www.youtube.com/watch?v=VAxf5-Yuk4E,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,2 times a week,3 months,24,,
102,Preventative care,Mind,Sleep tips,102,Find out how to increase the quality of your sleep.,One of the most common problems related to ageing is sleep quality with over half of older adults reporting symptoms of insomnia. Read tips on how to increase your sleep quality.,Read,,https://www.halixia.com/ma/sleep-tips-102,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,2,103,,,Free,,,,,,
103,Preventative care,Mind,Improve your sleep,103,Set up a sleep schedule.,Set a daily alarm for bedtime! It will help you improve your sleep and ensure that you get 8 hours a night. Maintain a regular bedtime and sleep your way to a great habit!,Sign me up,National Sleep Foundation,https://www.thensf.org/sleep-tips/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,daily,1 month,28,,
104,Advanced brain & body fitness,Mind,Sleep trackers guide,104,Guide to sleep trackers.,"Read a guide to the best sleep trackers and browse sleep aids to help you make an informed decision when buying one for yourself, to help you get a good night of restful sleep.",Read,,https://www.halixia.com/ma/sleep-trackers-guide-104,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,105,,,Free,,,,,Sleep,Y
105,Advanced brain & body fitness,Mind,Track your sleep,105,Learn about your sleep patterns.,"Track your sleep patterns and habits for the next month, to start monitoring and learning, what might be helping or harming your sleep cycles.",Sign me up,Psychology Today,https://www.psychologytoday.com/us/blog/the-land-nod/201310/how-track-your-sleep,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,1 month,28,,
106,Basic Health,Mind,Take a break,106,Find out about the importance of taking a break.,"This episode of the ""Just one Thing"" podcast, and supporting guides and programs introduces the importance of taking a break to boost focus, enhance creativity and even improve eye health.",Listen,,https://www.halixia.com/ma/take-a-break-106,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,107,,,Free,,,,,,
107,Basic Health,Mind,Take a regular break,107,Put time aside for a break.,Work some breaks into your day to give yourself a few moments to slow down and enjoy life. Do this for a month and you can turn it into a great brain boosting habit.,Sign me up,Thrive Global,https://community.thriveglobal.com/weekly-roundup-4-ways-to-take-more-meaningful-breaks/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,1 month,28,,
108,Diagnostic,Mind,Try meditation,108,Guided meditations to boost health.,"Try these guided meditations including some hosted by a psychotherapist. Listen to calm explorations of body and mind, helping you deal with life’s stresses or to help you destress after a long day.",Listen,,https://www.halixia.com/ma/try-meditation-108,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,3,109,,,Free,,,,,"Mental Health,Meditation",Y
109,Diagnostic,Mind,Time to meditate,109,Put time aside for meditation.,Set aside regular time to meditate to make it a zen new habit.,Sign me up,Tara Brach,https://www.tarabrach.com/guided-meditations/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,2 times a week,3 months,24,,
110,Diagnostic,Mind,Self-care,110,The importance of self-care.,"With busy modern lives we often tend to put ourselves last, but self-care is crucial in maintaining health. Read these guides to find out why it's important to find time to take care of yourself.",Read,,https://www.halixia.com/ma/self-care-110,Development,,0-99,Female,"Working, Retired, Not-Working",3,Health,2,111,,,Free,,,,,"Mental Health,Self-care",Y
111,Diagnostic,Mind,Self-care in a box,111,Sign up for a self-care subscription box.,Take some time for yourself with a self-care subscription box to enjoy a well-deserved regular pamper day.,Sign me up,BasketsGalore,https://basketsgalore.co.uk/me-time,Maintenance,,0-99,Female,"Working, Retired, Not-Working",3,Health,1,,,,Paid,,monthly,1 year,12,,
112,Diagnostic,Mind,Self-care,112,The importance of self-care.,"With busy modern lives we often tend to put ourselves last, but self-care is crucial in maintaining health. Read these guides to find out why it's important to find time to take care of yourself.",Read,,https://www.halixia.com/ma/self-care-112,Development,,0-99,"Male, Non-Conforming","Working, Retired, Not-Working",3,Health,2,113,,,Free,,,,,"Mental Health,Self-care",Y
113,Diagnostic,Mind,Self-care in a box,113,Sign up for a self-care subscription box.,Take some time for yourself with a self-care subscription box to enjoy a well-deserved regular pamper day.,Sign me up,Find a Subscription Box,https://www.findasubscriptionbox.co.uk/,Maintenance,,0-99,"Male, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Paid,,monthly,1 year,12,,
114,Basic Health,Mind,Healthy ageing habits,114,Read about research backed healthy habits for a longer life.,Learn about research backed healthy daily habits to help you live a longer life and use these tools to help you schedule those habits.,Visit site,,https://www.halixia.com/ma/healthy-ageing-habits-114,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,115,,,Free,,,,,,
115,Basic Health,Mind,Build good habits,115,Incorporate healthy ageing habits into your life.,"The best way to build healthy habits into your life is by incorporating these into your calendar, and it'll soon become second nature.",Sign me up,Everyday Health,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,3 times a week,2 months,24,,
116,Diagnostic,Mind,Self-affirmations,116,Benefits of using self-affirmations.,Learn about the benefits of using self-affirmations in your life including reducing health deteriorating stress and anxiety.,Read,,https://www.halixia.com/ma/self-affirmations-116,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,117,,,Free,,,,,,
117,Diagnostic,Mind,Use self-affirmations,117,Improve your wellbeing with self-affirmations.,"Start adding self-affirmations into your day to help you feel better about yourself and life, it’ll soon become a positive habit for life.",Sign me up,LifeHack,https://www.lifehack.org/863537/self-affirmation,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,daily,1 month,28,,
118,Preventative care,Mind,Learn about memory,118,Understanding and improving your memory.,These guides explain the different types of memory and how to improve your learning and memory abilities.,Listen,,https://www.halixia.com/ma/learn-about-memory-118,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,119,,,Free,,,,,"Mental Health,Brain Training",Y
